TP_MISSION,DSC_MISSION,DSC_SHORT
5,SPOSTAMENTO GENERICO,SPGEN
7,SPOSTAMENTO INTERNO,SPINT
8,RITORNO DA BOX A STOCK,RETBS
10,CARICO DI PRODUZIONE,CARPR
13,INGRESSO PANCONI RILAVORAZIONI,INPAN
14,USCITA PANCONI RILAVORAZIONI,OUPAN
15,CARICO DA MAG AUTO,CARMA
18,CARICO DA RICONFEZIONAMENTO A BOX,CARRI
20,SCARICO PER RICEVIMENTI,SCARI
30,STOCCAGGIO DA RICEVIMENTI,STORI
40,STOCCAGGIO A CQ,STOCQ
50,CARICO DA CQ,CARCQ
51,RESO DA CQ,RECQ
52,RESO DA STOCK,RESTK
60,POSIZIONAMENTO INTERI,PINT
61,POSIZIONAMENTO DA STOCK A PICK_FTR,PPFTR
62,POSIZIONAMENTO DA PICK_FTR A STOCK,PSTCK
63,POSIZIONAMENTO DA PICK_CLD A BOX,PCBOX
64,POSIZIONAMENTO DA MAG99 A BOX,PMA99
65,POSIZIONAMENTO INTERSCAMBIO MERCH.,POSX
66,POSIZIONAMENTO INTERSCAMBIO XDOCKING.,POSXD
67,CARICO DA GRANDI LASTRE,GLM99
68,CARICO SU CAMION PRONTI IN PILA,CARCP
77,REFILLING VERSO MAGAUTO,REFMA
80,CARICO SU CAMION,CARCA
81,RITORNO DA SAGOMA CAMION/CONTAINER A BOX,RITSC
82,CARICO SU CONTAINER,CARCO
83,RITORNO DA CAMION PESATO A BOX,RIRCP
85,STOCK A CAMION,STOCA
87,AIUTO CARICO AUTOMEZZO,AIUCA
90,POSIZIONAMENTO PER INVENTARIO,POSIN
91,POSIZIONAMENTO PER INVENTARIO ROTATIVO,POSIR
93,POSIZIONAMENTO DA PREBOX A BDP FLORIM STONE,PBPZF
94,POSIZIONAMENTO DA PREBOX A BDP,PPBOX
95,SCARICO RIMORCHIO PER BDP,RIMBO
96,INGRESSO IMBALLI RILAVORAZIONI,INIMB
97,USCITA PRODOTTO FINITO RILAVORAZIONI,OUTPF
